istat_code,municipality_name,local_uri,external_uri,relation,match_status,linking_method,verification
028001,Abano Terme,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/028001,https://w3id.org/italia/env/ld/place/municipality/00201_028001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
098001,Abbadia Cerreto,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/098001,https://w3id.org/italia/env/ld/place/municipality/00201_098001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
097001,Abbadia Lariana,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/097001,https://w3id.org/italia/env/ld/place/municipality/00201_097001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
052001,Abbadia San Salvatore,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/052001,https://w3id.org/italia/env/ld/place/municipality/00201_052001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
095001,Abbasanta,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/095001,https://w3id.org/italia/env/ld/place/municipality/00201_095001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
068001,Abbateggio,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/068001,https://w3id.org/italia/env/ld/place/municipality/00201_068001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
015002,Abbiategrasso,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/015002,https://w3id.org/italia/env/ld/place/municipality/00201_015002,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
047023,Abetone Cutigliano,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/047023,https://w3id.org/italia/env/ld/place/municipality/00201_047023,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
076001,Abriola,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/076001,https://w3id.org/italia/env/ld/place/municipality/00201_076001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
088001,Acate,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/088001,https://w3id.org/italia/env/ld/place/municipality/00201_088001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
071001,Accadia,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/071001,https://w3id.org/italia/env/ld/place/municipality/00201_071001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
004001,Acceglio,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/004001,https://w3id.org/italia/env/ld/place/municipality/00201_004001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
077001,Accettura,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/077001,https://w3id.org/italia/env/ld/place/municipality/00201_077001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
066001,Acciano,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/066001,https://w3id.org/italia/env/ld/place/municipality/00201_066001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
057001,Accumoli,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/057001,https://w3id.org/italia/env/ld/place/municipality/00201_057001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
076002,Acerenza,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/076002,https://w3id.org/italia/env/ld/place/municipality/00201_076002,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
065001,Acerno,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/065001,https://w3id.org/italia/env/ld/place/municipality/00201_065001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
063001,Acerra,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063001,https://w3id.org/italia/env/ld/place/municipality/00201_063001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
087001,Aci Bonaccorsi,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/087001,https://w3id.org/italia/env/ld/place/municipality/00201_087001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
087002,Aci Castello,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/087002,https://w3id.org/italia/env/ld/place/municipality/00201_087002,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
087003,Aci Catena,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/087003,https://w3id.org/italia/env/ld/place/municipality/00201_087003,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
087004,Acireale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/087004,https://w3id.org/italia/env/ld/place/municipality/00201_087004,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
087005,Aci Sant'Antonio,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/087005,https://w3id.org/italia/env/ld/place/municipality/00201_087005,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
060001,Acquafondata,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/060001,https://w3id.org/italia/env/ld/place/municipality/00201_060001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
078001,Acquaformosa,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/078001,https://w3id.org/italia/env/ld/place/municipality/00201_078001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
017001,Acquafredda,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/017001,https://w3id.org/italia/env/ld/place/municipality/00201_017001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
041001,Acqualagna,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/041001,https://w3id.org/italia/env/ld/place/municipality/00201_041001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
019001,Acquanegra Cremonese,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/019001,https://w3id.org/italia/env/ld/place/municipality/00201_019001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
020001,Acquanegra sul Chiese,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/020001,https://w3id.org/italia/env/ld/place/municipality/00201_020001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
056001,Acquapendente,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/056001,https://w3id.org/italia/env/ld/place/municipality/00201_056001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
078002,Acquappesa,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/078002,https://w3id.org/italia/env/ld/place/municipality/00201_078002,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
102001,Acquaro,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/102001,https://w3id.org/italia/env/ld/place/municipality/00201_102001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
044001,Acquasanta Terme,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/044001,https://w3id.org/italia/env/ld/place/municipality/00201_044001,http://www.w3.org/2002/07/owl#sameAs,generated_from_identifier,six-digit ISTAT code in Linked ISPRA municipality URI; no name/fuzzy matching,URI scheme verified on multiple live Linked ISPRA municipality resources; this generation step does not dereference every target; 2026 administrative changes excluded explicitly
